country,gdp,population
Aruba,3324034443.27 ,107310 
Afghanistan,14497243872.13 ,40578842 
Angola,131212208930.34 ,35635029 
Albania,19017247013.88 ,2451636 
Andorra,3380611694.73 ,79705 
United Arab Emirates,511403403675.97 ,10074977 
Argentina,633993756301.08 ,45407904 
Armenia,19513506553.13 ,2969200 
American Samoa,871000000.00 ,48342 
Antigua and Barbuda,1866566666.67 ,92840 
Australia,1695627535475.80 ,26018721 
Austria,473221298968.22 ,9041851 
Azerbaijan,78807470588.24 ,10141756 
Burundi,4036192552.89 ,13321097 
Belgium,591085783326.27 ,11680210 
Benin,17425405090.86 ,13759501 
Burkina Faso,18622421394.61 ,22509038 
Bangladesh,460131689083.08 ,169384897 
Bulgaria,90506153293.67 ,6465097 
Bahrain,46458191489.36 ,1524693 
"Bahamas, The",13896800000.00 ,397538 
Bosnia and Herzegovina,24534663636.18 ,3204802 
Belarus,73775179924.60 ,9228071 
Belize,2846604350.00 ,402733 
Bermuda,7874381000.00 ,64749 
Bolivia,50959081953.69 ,12077154 
Brazil,1951923832083.87 ,210306415 
Barbados,6884900000.00 ,282318 
Brunei Darussalam,16681536466.72 ,455370 
Bhutan,2898227743.76 ,780914 
Botswana,20321150599.15 ,2439892 
Central African Republic,2382618615.02 ,5098039 
Canada,2190411080134.32 ,38935934 
Switzerland,828508926958.39 ,8777088 
Channel Islands,11308272505.18 ,167215 
Chile,301226575540.24 ,19553036 
China,18316765021690.20 ,1412175000 
Cote d'Ivoire,70922824813.91 ,30395002 
Cameroon,44347206072.55 ,27632771 
"Congo, Dem. Rep.",70422346142.20 ,102396968 
"Congo, Rep.",15817030154.69 ,6035104 
Colombia,345632492851.45 ,51737944 
Comoros,1222485532.32 ,834188 
Cabo Verde,2247003344.34 ,519741 
Costa Rica,69243626028.59 ,5081765 
Cuba,,11059820 
Curacao,3075180834.72 ,153321 
Cayman Islands,6660161212.02 ,71591 
Cyprus,31218038929.09 ,1331370 
Czechia,301831228325.56 ,10672118 
Germany,4201021706478.62 ,83177813 
Djibouti,3562814908.76 ,1137096 
Dominica,623062962.96 ,66826 
